posted,neighborhood,post title,number bedrooms,sqft,URL,price
2020-04-29 12:47:00,(Mission District,Two Bedroom Mission Condo - One month Feee ~ J.Wavro,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-two-bedroom-mission-condo/7115970345.html,4295
2020-05-02 08:54:00,(Mission District,Brand New Apartment - One Month Free ~ J.Wavro,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-brand-new-apartment-one/7117436123.html,4300
2020-04-30 22:21:00,(Lower Pac Hts,ROOM OPEN in beautiful two bedroom!,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-room-open-in-beautiful/7116736234.html,1900
2020-04-27 11:08:00,(Inner Richmond,Second floor 2 BR / 1BA apartment in the Inner Richmond,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-second-floor-2-br-1ba/7114827885.html,3600
2020-04-29 11:26:00,(Inner Richmond,Second floor 2 BR / 1BA apartment in the Inner Richmond,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-second-floor-2-br-1ba/7115922216.html,3600
2020-04-30 11:23:00,(Inner Richmond,Second floor 2 BR / 1BA apartment in the Inner Richmond,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-second-floor-2-br-1ba/7116456580.html,3600
2020-05-01 11:59:00,(Inner Richmond,Second floor 2 BR / 1BA apartment in the Inner Richmond,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-second-floor-2-br-1ba/7117019192.html,3600
2020-05-03 10:57:00,(Inner Richmond,Second floor 2 BR / 1BA apartment in the Inner Richmond,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-second-floor-2-br-1ba/7118008462.html,3600
2020-04-27 12:35:00,(Noe Valley,Gorgeous Victorian 2 Bed on Dolores Park,2.0,1500.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-victorian-2-bed/7114887571.html,4100
2020-04-28 09:49:00,(Noe Valley,Gorgeous Victorian 2 Bed on Dolores Park,2.0,1500.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-victorian-2-bed/7115316336.html,4100
2020-05-03 18:10:00,(Noe Valley,2BR 2BA apt with views of downtown SF and bay water,2.0,,https://sfbay.craigslist.org/sfc/sub/d/san-francisco-2br-2ba-apt-with-views-of/7118218671.html,0
2020-04-30 21:01:00,(Pacific Heights,Great Location Spacious Apartment next to Presidio Library,2.0,1000.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-great-location-spacious/7113958580.html,3995
2020-04-29 11:13:00,(Noe Valley,"Furnished, Premium Castro 2BR w/ Backyard + W/D near Whole Foods",2.0,980.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-furnished-premium-castro/7115882424.html,3190
2020-04-27 09:18:00,(San Francisco,"Furnished, Crisp Mission Dolores 2BR w/ Gym, BBQ, near Muni & Shops",2.0,1200.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-furnished-crisp-mission/7105667561.html,3990
2020-05-01 09:09:00,(San Francisco,"Furnished, Lux Mission Dolores 2BR w/ Gym, BBQ, Courtyard, nr. Muni",2.0,976.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-furnished-lux-mission/7105775889.html,4190
2020-04-29 10:23:00,(Laurel Hts,"Charming & Bright Top Floor, 2 Bedroom Condo, Beautiful Laurel Heights",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-bright-top-floor/7108250411.html,3950
2020-05-01 14:09:00,(Inner Richmond,"PR.SHOW SUN 3:45PM-4PM. Bright 2BR/1BA w/Shared Laundry, Parking Avail",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-prshow-sun-345pm-4pm/7117092406.html,3300
2020-05-02 20:27:00,(Inner Richmond,"OPEN SUN 3:45-4:00PM; Bright;Laundry, Pkg Avail( 1227 Anza #7)",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-open-sun-pm-brightlaundry/7117788309.html,3300
2020-05-02 06:54:00,(Downtown,Quiet Condo's Heart of SF -- Perfect for Housemates,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-quiet-condos-heart-of-sf/7117368039.html,3680
2020-04-27 11:25:00,(Laurel Hts,"Dream location, excellent neighborhood, 2 bdr / 2 bath in Jordan Park",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-dream-location-excellent/7114824893.html,4298
2020-04-29 11:40:00,(Laurel Hts,"Dream location, excellent neighborhood, 2 bdr / 2 bath in Jordan Park",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-dream-location-excellent/7115921005.html,4298
2020-04-30 09:47:00,(Laurel Hts,"Dream location, excellent neighborhood, 2 bdr / 2 bath in Jordan Park",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-dream-location-excellent/7116384201.html,4298
2020-05-01 12:14:00,(Laurel Hts,"Dream location, excellent neighborhood, 2 bdr / 2 bath in Jordan Park",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-dream-location-excellent/7117017560.html,4298
2020-05-03 11:12:00,(Laurel Hts,"Dream location, excellent neighborhood, 2 bdr / 2 bath in Jordan Park",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-dream-location-excellent/7118006690.html,4298
2020-05-02 07:04:00,(Hayes Valley,Furnished Homes:  Heart of SF,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-furnished-homes-heart-of/7117372657.html,3180
2020-05-02 07:08:00,(Downtown,Furnished Homes:  Heart of SF,2.0,,https://sfbay.craigslist.org/sfc/sub/d/san-francisco-furnished-homes-heart-of/7117374689.html,3180
2020-04-27 07:59:00,(Laurel Hts,Laurel Village corner building,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-laurel-village-corner/7114692991.html,3250
2020-05-03 16:17:00,(Inner Richmond,Housing near GGP/USF,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-housing-near-ggp-usf/7109167269.html,3800
2020-05-03 16:17:00,(Inner Richmond,Housing near GGP/USF,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-housing-near-ggp-usf/7116890719.html,3200
2020-05-02 10:32:00,(Inner Richmond,STUDENT HOUSING NEAR  USF/GGPARK,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-student-housing-near-usf/7117492961.html,3200
2020-05-03 13:32:00,(Lower Pac Hts,Just Remodeled! Lovely 2x1 on Pine at Fillmore - Prime Location!,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-just-remodeled-lovely-2x1/7118095646.html,3450
2020-04-30 06:54:00,(Hayes Valley,"Furnished Homes:  Hayes Valley, Alamo Square, Civic Center",2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-furnished-homes-hayes/7106321698.html,3880
2020-05-01 17:56:00,(Downtown,Quiet Condo's Heart of SF -- Perfect for Housemates,2.0,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-quiet-condos-heart-of-sf/7114275607.html,3880
2020-04-30 11:24:00,(Pacific Heights,Charming Furnished Period Victorian Flat,2.0,1000.0,https://sfbay.craigslist.org/sfc/sub/d/san-francisco-charming-furnished-period/7116457250.html,3900
